画像ファイル,画像の中身（見たままの説明）,事例ID,事例名,画像が示している実績・数値,掲載ページ,判断根拠
assets/img/work19.webp,4ステップのフロー図＋改善前後の棒グラフ,C-03,上場人材会社のリスティング広告 LTV最適化,LTV 1.6倍,index.html / works.html,HTML＋画像
assets/img/work20.webp,エノサポ就活のLPと広告クリエイティブを並べた図,C-04,人材紹介会社のMETA広告 新規立ち上げ,実績数値なし。LP設計と配信クリエイティブの説明,index.html / works.html,HTML＋画像
assets/img/work21.webp,sake_tokyo_girlのIGプロフィール＋数値パネル＋支援者推移グラフ,C-06,ファンサイト×SNS×META広告（個人事業主）,有料会員74名／年間売上300万円,未使用,画像のみ
assets/img/work22.webp,オウンドメディアの記事一覧画面＋数値パネル＋表示回数の推移グラフ,C-10,SEO/AIOによるリード獲得最大化,約113記事／ページ表示回数約7倍／問い合わせ約15倍,index.html / works.html / cases/seo-aio-owned-media / aio-lp,HTML＋画像
assets/img/work23.webp,「内定ゼロ」訴求のMETA広告クリエイティブ（スマホ枠）,C-04,人材紹介会社のMETA広告 新規立ち上げ,実績数値なし。広告クリエイティブそのもの,ad-lp,HTML＋画像
assets/img/work24.webp,エノサポ就活のLPファーストビュー（スマホ枠）,C-04,人材紹介会社のMETA広告 新規立ち上げ,実績数値なし。LPの実物,ad-lp,HTML＋画像
assets/img/work25.webp,fallingourmet×bachelor_dateのタイアップ動画（導入部分・231万再生）,C-09,マッチングアプリの獲得単価最適化（META広告）,実績数値なし。広告クリエイティブそのもの,ad-lp,HTML＋画像（altは誤り）
assets/img/work26.webp,同タイアップ動画（訴求部分「デート1回無料」・231万再生）,C-09,マッチングアプリの獲得単価最適化（META広告）,実績数値なし。広告クリエイティブそのもの,ad-lp,HTML＋画像（altは誤り）
assets/img/work27.webp,Google検索結果のスポンサー広告枠のスクショ（社名はマスク済み）,C-03,上場人材会社のリスティング広告 LTV最適化,実績数値なし。実際の広告掲載状態,ad-lp,HTML＋画像（altは誤り）
assets/img/work28.webp,生成AIインプレッションの推移グラフ＋AIOスコアの内訳,C-10,SEO/AIOによるリード獲得最大化,生成AIインプレッション約7倍／AIOスコア91点（100点満点・Bランク）,cases/seo-aio-owned-media / aio-lp,HTML＋画像
cases/img/sales-fansite.webp,ファンサイトの売上ダッシュボード（支援者数の推移グラフ付き）,C-06,ファンサイト×SNS×META広告（個人事業主）,支援者数74／フォロワー108／支援額269500円,cases/fansite-marketing,HTML＋画像
cases/img/profile-instagram.webp,fallingourmetのIGプロフィール画面（拡大）,C-05,自社運営 東京デートグルメInstagram,フォロワー2.1万／投稿579／月間150万人が見るアカウント,cases/instagram-food-account,HTML＋画像
cases/img/reach-attr-jinzai2.webp,META広告管理画面の年齢・性別リーチ分布グラフ,C-04,人材紹介会社のMETA広告 新規立ち上げ,18-24歳に集中／男性40%(2327)・女性58%(3320)／結果の単価4029円,cases/jinzai-meta-ads,HTML＋画像
cases/img/creative-jinzai2.webp,「内定ゼロ」訴求のMETA広告クリエイティブ（原寸）,C-04,人材紹介会社のMETA広告 新規立ち上げ,実績数値なし。広告クリエイティブそのもの,cases/jinzai-meta-ads,HTML＋画像
ad-lp/img/result1.png,sake_tokyo_girlのIGプロフィール＋数値パネル＋フォロワー推移グラフ,C-06,ファンサイト×SNS×META広告（個人事業主）,フォロワー4千人／「月間売上300万円」と表記（台帳は月間25万円・年換算300万円。画像側が誤り）,未使用,画像のみ
ad-lp/img/result2.png,タイアップ動画2カット＋「アプリDL単価50%削減」のパネル,C-09,マッチングアプリの獲得単価最適化（META広告）,アプリDL単価50%削減,未使用,画像のみ
ad-lp/img/case-matching.webp,白い棒が小さい紫の棒に変わる抽象CG,-,どの事例にも紐づかない汎用素材,実績数値なし,未使用,画像のみ
assets/img/report-sample.webp,AI活用診断レポートのサンプル2ページ（SAMPLE透かし入り）,-,サービス紹介用（AI活用診断レポート）,提案月10時間・月8時間の削減目安／改善インパクト試算。自社実績として「半年で売上+600万円」を引用,未使用,画像のみ
assets/img/hero-report.webp,AI活用診断レポートのサンプル（診断サマリー画面）,-,サービス紹介用（AI活用診断レポート）,月間18時間削減／年間216時間／人件費86万円相当。すべてサンプル値,未使用,画像のみ
